기준분기,상권구분,상권지역,서비스업종,분기매출,분기당_매출건수,주중_매출금액,주말_매출금액
4,전통시장,삼양골목시장(삼양시장),시계및귀금속,2079117,12,2079117,0
4,전통시장,대림상가(청계상가),가전제품,6264218499,15184,6249794192,14424307
4,전통시장,"남부골목시장(남부화곡시장, 남부시장)",시계및귀금속,85995144,303,82293846,3701298
4,전통시장,신당 미래유산 먹거리 골목형상점가,시계및귀금속,401135,7,401135,0
4,전통시장,후암시장,시계및귀금속,20807259,71,20807259,0
4,발달상권,"총신대입구역(이수, 총신대)",가전제품,501030747,1665,370900832,130129915
4,전통시장,능동로골목시장,시계및귀금속,105799591,279,99163007,6636584
4,전통시장,목동깨비시장(목3동시장),가구,37879909,170,29722251,8157658
4,발달상권,선릉역,가구,637254848,25091,479039180,158215668
4,전통시장,신정1동 골목시장(신정제일시장),시계및귀금속,1275322,38,1243117,32205
4,전통시장,종로신진시장,시계및귀금속,6715313,168,3547712,3167601
4,전통시장,세운상가가동,가전제품,2695149344,17761,2494384361,200764983
4,발달상권,왕십리역(왕십리),가구,360000000,503,278167140,81832860
4,전통시장,중랑동부시장(중랑교종합상가),시계및귀금속,6945345,51,5933446,1011899
4,전통시장,신영시장,가구,24094240,253,19347126,4747114
4,전통시장,홍대 걷고싶은 거리,시계및귀금속,116578500,1001,74453894,42124606
4,전통시장,정릉아리랑시장,가구,78661631,100,78661631,0
4,전통시장,관악중부시장,가구,181691563,306,114941439,66750124
4,전통시장,독산동 맛나는거리상점가(독산동 맛나는거리),시계및귀금속,66074027,46,63003461,3070566
4,전통시장,화곡중앙시장,가구,28524590,35,11690405,16834185
4,전통시장,중랑동부시장,가전제품,165730106,570,130573665,35156441
4,전통시장,월정로시장,가구,5485604,91,5097673,387931
4,전통시장,신아타운,시계및귀금속,14438670,69,14189297,249373
4,전통시장,남대문시장(자유상가),가전제품,235869735,1060,218195565,17674170
4,전통시장,목동깨비시장(목3동시장),시계및귀금속,80478,10,80478,0
4,전통시장,답십리현대시장,가구,6937202,88,6937202,0
4,전통시장,마천중앙시장,가전제품,28254638,357,19261278,8993360
4,전통시장,방이시장,가구,35089774,97,15245902,19843872
4,전통시장,개봉중앙시장,시계및귀금속,26664738,85,25511697,1153041
4,전통시장,동남상가,시계및귀금속,193931095,625,175451495,18479600
4,전통시장,서원동상점가,시계및귀금속,185736900,1044,100075543,85661357
4,전통시장,사당1동먹자골목상점가(사당1동먹자골목),부동산중개업,14537321,73,0,14537321
4,전통시장,숭례문수입상가(남대문시장),시계및귀금속,732093575,608,721136824,10956751
4,전통시장,도림시장,시계및귀금속,19570954,99,19262459,308495
4,전통시장,우리시장,시계및귀금속,2505800,11,0,2505800
4,관광특구,동대문패션타운 관광특구,가전제품,32678986,587,31641997,1036989
4,관광특구,강남 마이스 관광특구,가구,8512320761,3912,5431244041,3081076720
