uniqueid,기준분기,상권구분,상권지역,서비스업종,분기매출,분기당매출건수,주중매출금액,주말매출금액
YH245,4분기,발달상권,성북구청,가전제품,100439368,826,82671370,17767998
YH246,4분기,발달상권,선릉역,시계및귀금속,12122401,10,856229,11266172
YH247,4분기,발달상권,성신여대,가구,32814259,198,32814259,0
YH248,4분기,발달상권,"신촌역(신촌역, 신촌로터리)",가전제품,5230416,9,0,5230416
YH249,4분기,발달상권,삼각지역,부동산중개업,35933333,73,35933333,0
YH250,4분기,발달상권,목동신시가지,시계및귀금속,342211719,2644,174218283,167993436
YH251,4분기,발달상권,강변역(테크노마트),가전제품,8142092517,19381,5940690297,2201402220
YH252,4분기,발달상권,강변역(테크노마트),가구,1702897751,1869,799026812,903870939
YH253,4분기,발달상권,삼청동,가구,118396942,355,118396942,0
YH254,4분기,전통시장,본동인정시장(기능상실),가전제품,644828,19,644828,0
YH255,4분기,전통시장,영등포역지하도상점가,시계및귀금속,1436111558,2173,1210467922,225643636
YH256,4분기,전통시장,인헌시장(원당종합시장),시계및귀금속,6509467,72,5888950,620517
YH257,4분기,발달상권,아차산역,가구,193373146,776,192711123,662023
YH258,4분기,발달상권,사가정역,시계및귀금속,20912488,90,19215604,1696884
YH259,4분기,발달상권,상봉역,시계및귀금속,255367965,696,172051490,83316475
YH260,4분기,전통시장,장미원골목시장,시계및귀금속,40009825,298,20271263,19738562
YH261,4분기,발달상권,여의도역(여의도),부동산중개업,160347583,675,160347583,0
YH262,4분기,발달상권,삼청동,시계및귀금속,18982167,251,6444015,12538152
YH263,4분기,발달상권,충무로역,시계및귀금속,92570798,262,92570798,0
YH264,4분기,발달상권,동대문역사문화공원역,시계및귀금속,49668864,112,49613181,55683
YH265,4분기,발달상권,가산디지털단지,시계및귀금속,109564162,1643,84538430,25025732
YH266,4분기,발달상권,대림3동사거리,시계및귀금속,5820854,50,4696051,1124803
YH267,4분기,발달상권,교육개발원입구사거리,가전제품,146221813,3458,146221813,0
YH268,4분기,발달상권,사당역(사당),가구,1170000000,12252,922418498,247581502
YH269,4분기,발달상권,포이사거리(삼호물산),가전제품,38043771,446,38043771,0
YH270,4분기,발달상권,구로구청,가전제품,108000000,444,72846722,35153278
YH271,4분기,발달상권,남부터미널역,시계및귀금속,98788707,2278,91749273,7039434
YH272,4분기,발달상권,석촌고분역,가구,391507350,244,258631504,132875846
YH273,4분기,발달상권,코엑스,가구,8512320761,3912,5431244041,3081076720
YH274,4분기,발달상권,목동역 8번출구,가구,63884297,91,30826446,33057851
YH275,4분기,발달상권,성수역,가전제품,42000000,45,24821559,17178441
YH276,4분기,발달상권,가산디지털단지,가구,67900416,265,67900416,0
YH277,4분기,전통시장,뚝도시장,시계및귀금속,45634118,182,45634118,0
YH278,4분기,전통시장,난곡 골목형상점가,시계및귀금속,10745152,7,9000000,1745152
YH279,4분기,전통시장,남대문시장(자유상가),시계및귀금속,2765170164,64826,1961430387,803739777
YH280,4분기,발달상권,대치역,시계및귀금속,127266397,720,121738940,5527457
YH281,4분기,발달상권,여의도역(여의도),가전제품,3335486,6,3335486,0
YH282,4분기,발달상권,역삼역,가구,26774608,159,6355004,20419604
YH283,4분기,발달상권,신도림역,가전제품,1328770214,7460,970618747,358151467
YH284,4분기,전통시장,강북북부골목시장,시계및귀금속,10330478,42,7562768,2767710
YH285,4분기,발달상권,교대역(법원.검찰청),부동산중개업,160606,32,160606,0
YH286,4분기,발달상권,구역삼세무서,가구,458263631,258,40643856,417619775
YH287,4분기,전통시장,창신골목시장,시계및귀금속,8960302,46,5103970,3856332
YH288,4분기,발달상권,대치사거리,가구,1313508573,1785,914014743,399493830
YH289,4분기,전통시장,성동용답상가시장,시계및귀금속,84295271,354,52636411,31658860
YH290,4분기,전통시장,수유프라자,가구,60770432,233,37674864,23095568
YH291,4분기,발달상권,서울세관,시계및귀금속,287995392,2330,287677543,317849
YH292,4분기,전통시장,청량리전통시장,가전제품,42211283,428,40785914,1425369
YH293,4분기,전통시장,월정로시장,시계및귀금속,38864687,73,23521620,15343067
YH294,4분기,전통시장,동묘시장(동묘벼룩시장),가전제품,30134873,614,30134873,0
YH295,4분기,전통시장,비단길현대시장(현대시장),시계및귀금속,243357543,312,213119060,30238483
YH296,4분기,전통시장,전곡시장,가전제품,192729548,637,185566360,7163188
YH297,4분기,전통시장,삼양골목시장(삼양시장),시계및귀금속,2079117,12,2079117,0
YH298,4분기,전통시장,대림상가(청계상가),가전제품,6264218499,15184,6249794192,14424307
YH299,4분기,전통시장,"남부골목시장(남부화곡시장, 남부시장)",시계및귀금속,85995144,303,82293846,3701298
YH300,4분기,전통시장,신당 미래유산 먹거리 골목형상점가,시계및귀금속,401135,7,401135,0
YH301,4분기,전통시장,후암시장,시계및귀금속,20807259,71,20807259,0
YH302,4분기,발달상권,"총신대입구역(이수, 총신대)",가전제품,501030747,1665,370900832,130129915
YH303,4분기,전통시장,능동로골목시장,시계및귀금속,105799591,279,99163007,6636584
YH304,4분기,전통시장,목동깨비시장(목3동시장),가구,37879909,170,29722251,8157658
YH305,4분기,발달상권,선릉역,가구,637254848,25091,479039180,158215668
YH306,4분기,전통시장,신정1동 골목시장(신정제일시장),시계및귀금속,1275322,38,1243117,32205
YH307,4분기,전통시장,종로신진시장,시계및귀금속,6715313,168,3547712,3167601
YH308,4분기,전통시장,세운상가가동,가전제품,2695149344,17761,2494384361,200764983
YH309,4분기,발달상권,왕십리역(왕십리),가구,360000000,503,278167140,81832860
YH310,4분기,전통시장,중랑동부시장(중랑교종합상가),시계및귀금속,6945345,51,5933446,1011899
YH311,4분기,전통시장,신영시장,가구,24094240,253,19347126,4747114
YH312,4분기,전통시장,홍대 걷고싶은 거리,시계및귀금속,116578500,1001,74453894,42124606
YH313,4분기,전통시장,정릉아리랑시장,가구,78661631,100,78661631,0
YH314,4분기,전통시장,관악중부시장,가구,181691563,306,114941439,66750124
YH315,4분기,전통시장,독산동 맛나는거리상점가(독산동 맛나는거리),시계및귀금속,66074027,46,63003461,3070566
YH316,4분기,전통시장,화곡중앙시장,가구,28524590,35,11690405,16834185
YH317,4분기,전통시장,중랑동부시장,가전제품,165730106,570,130573665,35156441
YH318,4분기,전통시장,월정로시장,가구,5485604,91,5097673,387931
YH319,4분기,전통시장,신아타운,시계및귀금속,14438670,69,14189297,249373
YH320,4분기,전통시장,남대문시장(자유상가),가전제품,235869735,1060,218195565,17674170
YH321,4분기,전통시장,목동깨비시장(목3동시장),시계및귀금속,80478,10,80478,0
YH322,4분기,전통시장,답십리현대시장,가구,6937202,88,6937202,0
YH323,4분기,전통시장,마천중앙시장,가전제품,28254638,357,19261278,8993360
YH324,4분기,전통시장,방이시장,가구,35089774,97,15245902,19843872
YH325,4분기,전통시장,개봉중앙시장,시계및귀금속,26664738,85,25511697,1153041
YH326,4분기,전통시장,동남상가,시계및귀금속,193931095,625,175451495,18479600
YH327,4분기,전통시장,서원동상점가,시계및귀금속,185736900,1044,100075543,85661357
YH328,4분기,전통시장,사당1동먹자골목상점가(사당1동먹자골목),부동산중개업,14537321,73,0,14537321
